input_desc,predicted_desc,source_file,target_desc,correct
"beans, kidney, red, mature seeds, cooked, boiled, without salt","beans, kidney, red, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,"beans, kidney, red, mature seeds, cooked, boiled, without salt",True
"beans, navy, mature seeds, cooked, boiled, without salt","beans, navy, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,,False
"lentils, mature seeds, cooked, boiled, without salt","lentils, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,"lentils, mature seeds, cooked, boiled, without salt",True
"chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt","chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,"chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",True
"soybeans, mature seeds, cooked, boiled, without salt","soybeans, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,,False
"lima beans, large, mature seeds, cooked, boiled, without salt","lima beans, large, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,"lima beans, large, mature seeds, cooked, boiled, without salt",True
"split peas, mature seeds, cooked, boiled, without salt","split peas, mature seeds, cooked, boiled, without salt",food_matches_201_to_400.txt,,False
"tofu, raw, regular, prepared with calcium sulfate","tofu, raw, regular, prepared with calcium sulfate",food_matches_201_to_400.txt,,False
tempeh,tempeh,food_matches_201_to_400.txt,,False
"quinoa, cooked","quinoa, cooked",food_matches_201_to_400.txt,"quinoa, cooked",True
"oats, regular and quick and instant, not fortified, dry","oats, regular and quick and instant, not fortified, dry",food_matches_201_to_400.txt,,False
"barley, hulled","barley, hulled",food_matches_201_to_400.txt,,False
buckwheat,buckwheat,food_matches_201_to_400.txt,,False
"millet, cooked","millet, cooked",food_matches_201_to_400.txt,,False
"amaranth, cooked","amaranth, cooked",food_matches_201_to_400.txt,,False
"bulgur, cooked","bulgur, cooked",food_matches_201_to_400.txt,"bulgur, cooked",True
"brown rice, long-grain, cooked (includes foods for usda's food distribution program)","brown rice, long-grain, cooked (includes foods for usda's food distribution program)",food_matches_201_to_400.txt,,False
"popcorn, air-popped","popcorn, air-popped",food_matches_201_to_400.txt,,False
"crackers, saltines (includes oyster, soda, soup)","crackers, saltines (includes oyster, soda, soup)",food_matches_201_to_400.txt,"crackers, saltines (includes oyster, soda, soup)",True
"crackers, whole-wheat","crackers, whole-wheat",food_matches_201_to_400.txt,"crackers, whole-wheat",True
"pretzels, hard, plain, salted","pretzels, hard, plain, salted",food_matches_201_to_400.txt,,False
"tortillas, ready-to-bake or -fry, corn","tortillas, ready-to-bake or -fry, corn",food_matches_201_to_400.txt,"tortillas, ready-to-bake or -fry, corn",True
"tortillas, ready-to-bake or -fry, flour, shelf stable","tortillas, ready-to-bake or -fry, flour, shelf stable",food_matches_201_to_400.txt,,False
"bread, whole-wheat, commercially prepared","bread, whole-wheat, commercially prepared",food_matches_201_to_400.txt,"bread, whole-wheat, commercially prepared",True
"bread, rye","bread, rye",food_matches_201_to_400.txt,"bread, rye",True
"muffins, blueberry, commercially prepared (includes mini-muffins)","muffins, blueberry, commercially prepared (includes mini-muffins)",food_matches_201_to_400.txt,"muffins, blueberry, commercially prepared (includes mini-muffins)",True
"bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)","bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",food_matches_201_to_400.txt,"bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",True
"english muffins, plain, enriched, with ca prop (includes sourdough)","english muffins, plain, enriched, with ca prop (includes sourdough)",food_matches_201_to_400.txt,,False
"rolls, hamburger or hotdog, plain","rolls, hamburger or hotdog, plain",food_matches_201_to_400.txt,"rolls, hamburger or hotdog, plain",True
"croissants, butter","croissants, butter",food_matches_201_to_400.txt,"croissants, butter",True
"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched","cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",food_matches_201_to_400.txt,"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",True
"cookies, oatmeal, commercially prepared, regular","cookies, oatmeal, commercially prepared, regular",food_matches_201_to_400.txt,"cookies, oatmeal, commercially prepared, regular",True
"cookies, sugar, commercially prepared, regular (includes vanilla)","cookies, sugar, commercially prepared, regular (includes vanilla)",food_matches_201_to_400.txt,"cookies, sugar, commercially prepared, regular (includes vanilla)",True
"cake, chocolate, prepared from recipe without frosting","cake, chocolate, prepared from recipe without frosting",food_matches_201_to_400.txt,,False
"cake, yellow, prepared from recipe without frosting","cake, yellow, prepared from recipe without frosting",food_matches_201_to_400.txt,,False
"pie, apple, commercially prepared, enriched flour","pie, apple, commercially prepared, enriched flour",food_matches_201_to_400.txt,"pie, apple, commercially prepared, enriched flour",True
"pie, pumpkin, commercially prepared","pie, pumpkin, commercially prepared",food_matches_201_to_400.txt,"pie, pumpkin, commercially prepared",True
"ice cream, vanilla","ice cream, vanilla",food_matches_201_to_400.txt,,False
"ice cream, chocolate","ice cream, chocolate",food_matches_201_to_400.txt,,False
"frozen yogurt, vanilla, soft-serve","frozen yogurt, vanilla, soft-serve",food_matches_201_to_400.txt,,False
"sherbet, orange","sherbet, orange",food_matches_201_to_400.txt,,False
"pudding, chocolate, ready-to-eat","pudding, chocolate, ready-to-eat",food_matches_201_to_400.txt,,False
"pudding, vanilla, ready-to-eat","pudding, vanilla, ready-to-eat",food_matches_201_to_400.txt,,False
jams and preserves,jams and preserves,food_matches_201_to_400.txt,jams and preserves,True
honey,honey,food_matches_201_to_400.txt,honey,True
"syrup, maple","syrup, maple",food_matches_201_to_400.txt,,False
"sugar, granulated","sugar, granulated",food_matches_201_to_400.txt,,False
"sugar, brown","sugar, brown",food_matches_201_to_400.txt,,False
molasses,molasses,food_matches_201_to_400.txt,molasses,True
"chocolate, dark, 70-85% cacao solids","chocolate, dark, 70-85% cacao solids",food_matches_201_to_400.txt,,False
"chocolate, milk","chocolate, milk",food_matches_201_to_400.txt,,False
"cocoa, dry powder, unsweetened","cocoa, dry powder, unsweetened",food_matches_201_to_400.txt,"cocoa, dry powder, unsweetened",True
"coffee, brewed from grounds, prepared with tap water","coffee, brewed from grounds, prepared with tap water",food_matches_201_to_400.txt,,False
"tea, brewed, prepared with tap water","tea, brewed, prepared with tap water",food_matches_201_to_400.txt,,False
"soft drink, cola, regular","soft drink, cola, regular",food_matches_201_to_400.txt,,False
"soft drink, lemon-lime soda, regular","soft drink, lemon-lime soda, regular",food_matches_201_to_400.txt,,False
"energy drinks, red bull","energy drinks, red bull",food_matches_201_to_400.txt,,False
"sports drinks, fluid replacement, electrolyte solution","sports drinks, fluid replacement, electrolyte solution",food_matches_201_to_400.txt,,False
"wine, red","wine, red",food_matches_201_to_400.txt,,False
"wine, white","wine, white",food_matches_201_to_400.txt,,False
"beer, regular, budweiser","beer, regular, budweiser",food_matches_201_to_400.txt,,False
whiskey,whiskey,food_matches_201_to_400.txt,,False
vodka,vodka,food_matches_201_to_400.txt,,False
rum,rum,food_matches_201_to_400.txt,,False
gin,gin,food_matches_201_to_400.txt,,False
brandy,brandy,food_matches_201_to_400.txt,,False
tequila,tequila,food_matches_201_to_400.txt,,False
"liqueur, coffee, 53 proof","liqueur, coffee, 53 proof",food_matches_201_to_400.txt,,False
"vinegar, cider","vinegar, cider",food_matches_201_to_400.txt,"vinegar, cider",True
"vinegar, balsamic","vinegar, balsamic",food_matches_201_to_400.txt,,False
"mustard, prepared, yellow","mustard, prepared, yellow",food_matches_201_to_400.txt,"mustard, prepared, yellow",True
ketchup,ketchup,food_matches_201_to_400.txt,,False
"mayonnaise, regular","mayonnaise, regular",food_matches_201_to_400.txt,,False
"salad dressing, ranch dressing, commercial, regular","salad dressing, ranch dressing, commercial, regular",food_matches_201_to_400.txt,,False
"salad dressing, thousand island, commercial, regular","salad dressing, thousand island, commercial, regular",food_matches_201_to_400.txt,"salad dressing, thousand island, commercial, regular",True
"salad dressing, caesar dressing, regular","salad dressing, caesar dressing, regular",food_matches_201_to_400.txt,"salad dressing, caesar dressing, regular",True
"salad dressing, italian dressing, commercial, regular","salad dressing, italian dressing, commercial, regular",food_matches_201_to_400.txt,"salad dressing, italian dressing, commercial, regular",True
"sauce, barbecue","sauce, barbecue",food_matches_201_to_400.txt,"sauce, barbecue",True
"sauce, hot, chili, mature red, canned","sauce, hot, chili, mature red, canned",food_matches_201_to_400.txt,,False
"sauce, soy sauce made from soy and wheat (shoyu), low sodium","sauce, soy sauce made from soy and wheat (shoyu), low sodium",food_matches_201_to_400.txt,,False
"sauce, worcestershire","sauce, worcestershire",food_matches_201_to_400.txt,"sauce, worcestershire",True
"sauce, teriyaki, ready-to-serve, reduced sodium","sauce, teriyaki, ready-to-serve, reduced sodium",food_matches_201_to_400.txt,,False
"pesto, red or green","pesto, red or green",food_matches_201_to_400.txt,,False
"hummus, commercial","hummus, commercial",food_matches_201_to_400.txt,,False
guacamole,guacamole,food_matches_201_to_400.txt,,False
salsa,salsa,food_matches_201_to_400.txt,,False
"butter, without salt","butter, without salt",food_matches_201_to_400.txt,"butter, without salt",True
"margarine, regular, 80% fat, composite, stick, with salt","margarine, regular, 80% fat, composite, stick, with salt",food_matches_201_to_400.txt,"margarine, regular, 80% fat, composite, stick, with salt",True
"oil, olive, salad or cooking","oil, olive, salad or cooking",food_matches_201_to_400.txt,"oil, olive, salad or cooking",True
"oil, canola","oil, canola",food_matches_201_to_400.txt,"oil, canola",True
"oil, vegetable, corn, industrial and retail, all purpose salad or cooking","oil, vegetable, corn, industrial and retail, all purpose salad or cooking",food_matches_201_to_400.txt,,False
"oil, sesame, salad or cooking","oil, sesame, salad or cooking",food_matches_201_to_400.txt,"oil, sesame, salad or cooking",True
"oil, coconut","oil, coconut",food_matches_201_to_400.txt,,False
"shortening, vegetable, household, composite","shortening, vegetable, household, composite",food_matches_201_to_400.txt,"shortening, vegetable, household, composite",True
lard,lard,food_matches_201_to_400.txt,lard,True
"cream, heavy whipping","cream, heavy whipping",food_matches_201_to_400.txt,,False
"cream, light whipping","cream, light whipping",food_matches_201_to_400.txt,,False
"sour cream, regular","sour cream, regular",food_matches_201_to_400.txt,,False
cream cheese,cream cheese,food_matches_201_to_400.txt,,False
"cottage cheese, creamed, large or small curd","cottage cheese, creamed, large or small curd",food_matches_201_to_400.txt,,False
"ricotta cheese, whole milk","ricotta cheese, whole milk",food_matches_201_to_400.txt,,False
"mozzarella cheese, whole milk","mozzarella cheese, whole milk",food_matches_201_to_400.txt,,False
"parmesan cheese, grated","parmesan cheese, grated",food_matches_201_to_400.txt,,False
swiss cheese,swiss cheese,food_matches_201_to_400.txt,,False
"american cheese, pasteurized process","american cheese, pasteurized process",food_matches_201_to_400.txt,,False
feta cheese,feta cheese,food_matches_201_to_400.txt,,False
"goat cheese, soft type","goat cheese, soft type",food_matches_201_to_400.txt,,False
blue cheese,blue cheese,food_matches_201_to_400.txt,,False
brie cheese,brie cheese,food_matches_201_to_400.txt,,False
camembert cheese,camembert cheese,food_matches_201_to_400.txt,,False
gouda cheese,gouda cheese,food_matches_201_to_400.txt,,False
colby cheese,colby cheese,food_matches_201_to_400.txt,,False
monterey cheese,monterey cheese,food_matches_201_to_400.txt,,False
provolone cheese,provolone cheese,food_matches_201_to_400.txt,,False
romano cheese,romano cheese,food_matches_201_to_400.txt,,False
"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d","milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",food_matches_201_to_400.txt,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",True
"buttermilk, fluid, cultured, lowfat","buttermilk, fluid, cultured, lowfat",food_matches_201_to_400.txt,,False
"yogurt, greek, plain, nonfat","yogurt, greek, plain, nonfat",food_matches_201_to_400.txt,,False
"yogurt, greek, plain, lowfat","yogurt, greek, plain, lowfat",food_matches_201_to_400.txt,,False
"yogurt, vanilla, lowfat","yogurt, vanilla, lowfat",food_matches_201_to_400.txt,,False
"yogurt, fruit, lowfat","yogurt, fruit, lowfat",food_matches_201_to_400.txt,,False
"kefir, lowfat, plain, lifeway","kefir, lowfat, plain, lifeway",food_matches_201_to_400.txt,,False
"ice milk, vanilla","ice milk, vanilla",food_matches_201_to_400.txt,,False
"milkshake, thick vanilla","milkshake, thick vanilla",food_matches_201_to_400.txt,,False
"malted drink mix, chocolate, powder, prepared with milk","malted drink mix, chocolate, powder, prepared with milk",food_matches_201_to_400.txt,,False
"onions, spring or scallions (includes tops and bulb), raw","onions, spring or scallions (includes tops and bulb), raw",food_matches_1to200.txt,"onions, spring or scallions (includes tops and bulb), raw",True
"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled","beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",food_matches_1to200.txt,"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",True
"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled","beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",food_matches_1to200.txt,"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",True
"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled","beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",food_matches_1to200.txt,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",True
"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled","beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",food_matches_1to200.txt,"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",True
"beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned","beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned",food_matches_1to200.txt,,False
"beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled","beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled",food_matches_1to200.txt,,False
"beans, snap, green, frozen, all styles, microwaved","beans, snap, green, frozen, all styles, microwaved",food_matches_1to200.txt,,False
"beans, snap, green, frozen, all styles, unprepared","beans, snap, green, frozen, all styles, unprepared",food_matches_1to200.txt,,False
"beans, snap, green, frozen, cooked, boiled, drained without salt","beans, snap, green, frozen, cooked, boiled, drained without salt",food_matches_1to200.txt,"beans, snap, green, frozen, cooked, boiled, drained without salt",True
"beans, snap, green, frozen, cooked, boiled, drained with salt","beans, snap, green, frozen, cooked, boiled, drained with salt",food_matches_1to200.txt,,False
"beans, snap, green, raw","beans, snap, green, raw",food_matches_1to200.txt,"beans, snap, green, raw",True
"beans, snap, green, canned, regular pack, drained solids","beans, snap, green, canned, regular pack, drained solids",food_matches_1to200.txt,"beans, snap, green, canned, regular pack, drained solids",True
"beans, snap, green, canned, no salt added, drained solids","beans, snap, green, canned, no salt added, drained solids",food_matches_1to200.txt,,False
"beans, snap, green, cooked, boiled, drained, without salt","beans, snap, green, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"beans, snap, green, cooked, boiled, drained, with salt","beans, snap, green, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"broccoli, cooked, boiled, drained, without salt","broccoli, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"broccoli, cooked, boiled, drained, with salt","broccoli, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"broccoli, frozen, chopped, unprepared","broccoli, frozen, chopped, unprepared",food_matches_1to200.txt,,False
"broccoli, frozen, chopped, cooked, boiled, drained, without salt","broccoli, frozen, chopped, cooked, boiled, drained, without salt",food_matches_1to200.txt,"broccoli, frozen, chopped, cooked, boiled, drained, without salt",True
"broccoli, frozen, chopped, cooked, boiled, drained, with salt","broccoli, frozen, chopped, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"broccoli, frozen, spears, unprepared","broccoli, frozen, spears, unprepared",food_matches_1to200.txt,,False
"broccoli, frozen, spears, cooked, boiled, drained, without salt","broccoli, frozen, spears, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"broccoli, frozen, spears, cooked, boiled, drained, with salt","broccoli, frozen, spears, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"carrots, cooked, boiled, drained, without salt","carrots, cooked, boiled, drained, without salt",food_matches_1to200.txt,"carrots, cooked, boiled, drained, without salt",True
"carrots, cooked, boiled, drained, with salt","carrots, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"carrots, frozen, unprepared","carrots, frozen, unprepared",food_matches_1to200.txt,,False
"carrots, frozen, cooked, boiled, drained, without salt","carrots, frozen, cooked, boiled, drained, without salt",food_matches_1to200.txt,"carrots, frozen, cooked, boiled, drained, without salt",True
"carrots, frozen, cooked, boiled, drained, with salt","carrots, frozen, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"carrots, canned, regular pack, drained solids","carrots, canned, regular pack, drained solids",food_matches_1to200.txt,,False
"carrots, canned, no salt added, drained solids","carrots, canned, no salt added, drained solids",food_matches_1to200.txt,,False
"corn, sweet, white, raw","corn, sweet, white, raw",food_matches_1to200.txt,,False
"corn, sweet, white, cooked, boiled, drained, without salt","corn, sweet, white, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"corn, sweet, white, cooked, boiled, drained, with salt","corn, sweet, white, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"corn, sweet, white, frozen, kernels cut off cob, unprepared","corn, sweet, white, frozen, kernels cut off cob, unprepared",food_matches_1to200.txt,,False
"corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt","corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",food_matches_1to200.txt,,False
"corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt","corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",food_matches_1to200.txt,,False
"corn, sweet, white, canned, whole kernel, regular pack, drained solids","corn, sweet, white, canned, whole kernel, regular pack, drained solids",food_matches_1to200.txt,,False
"corn, sweet, white, canned, whole kernel, no salt added, drained solids","corn, sweet, white, canned, whole kernel, no salt added, drained solids",food_matches_1to200.txt,,False
"corn, sweet, yellow, raw","corn, sweet, yellow, raw",food_matches_1to200.txt,"corn, sweet, yellow, raw",True
"corn, sweet, yellow, cooked, boiled, drained, with salt","corn, sweet, yellow, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"corn, sweet, yellow, frozen, kernels cut off cob, unprepared","corn, sweet, yellow, frozen, kernels cut off cob, unprepared",food_matches_1to200.txt,,False
"corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt","corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",food_matches_1to200.txt,"corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",True
"corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, with salt","corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, with salt",food_matches_1to200.txt,,False
"corn, sweet, yellow, canned, whole kernel, regular pack, drained solids","corn, sweet, yellow, canned, whole kernel, regular pack, drained solids",food_matches_1to200.txt,,False
"corn, sweet, yellow, canned, whole kernel, no salt added, drained solids","corn, sweet, yellow, canned, whole kernel, no salt added, drained solids",food_matches_1to200.txt,,False
"potatoes, russet, flesh and skin, baked","potatoes, russet, flesh and skin, baked",food_matches_1to200.txt,,False
"potatoes, red, flesh and skin, raw","potatoes, red, flesh and skin, raw",food_matches_1to200.txt,,False
"potatoes, red, flesh and skin, baked","potatoes, red, flesh and skin, baked",food_matches_1to200.txt,,False
"potatoes, white, flesh and skin, raw","potatoes, white, flesh and skin, raw",food_matches_1to200.txt,,False
"potatoes, white, flesh and skin, baked","potatoes, white, flesh and skin, baked",food_matches_1to200.txt,,False
"sweet potato, raw, unprepared","sweet potato, raw, unprepared",food_matches_1to200.txt,,False
"sweet potato, cooked, baked in skin, flesh, without salt","sweet potato, cooked, baked in skin, flesh, without salt",food_matches_1to200.txt,"sweet potato, cooked, baked in skin, without salt",False
"sweet potato, cooked, baked in skin, flesh, with salt","sweet potato, cooked, baked in skin, flesh, with salt",food_matches_1to200.txt,,False
"sweet potato, cooked, boiled, without skin, flesh, without salt","sweet potato, cooked, boiled, without skin, flesh, without salt",food_matches_1to200.txt,,False
"sweet potato, cooked, boiled, without skin, flesh, with salt","sweet potato, cooked, boiled, without skin, flesh, with salt",food_matches_1to200.txt,,False
"tomatoes, red, ripe, cooked","tomatoes, red, ripe, cooked",food_matches_1to200.txt,,False
"tomatoes, red, ripe, canned, packed in tomato juice","tomatoes, red, ripe, canned, packed in tomato juice",food_matches_1to200.txt,"tomatoes, red, ripe, canned, packed in tomato juice",True
"tomatoes, red, ripe, canned, packed in tomato juice, no salt added","tomatoes, red, ripe, canned, packed in tomato juice, no salt added",food_matches_1to200.txt,,False
"mushrooms, white, cooked, boiled, drained, without salt","mushrooms, white, cooked, boiled, drained, without salt",food_matches_1to200.txt,"mushrooms, white, cooked, boiled, drained, without salt",True
"mushrooms, white, cooked, boiled, drained, with salt","mushrooms, white, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"mushrooms, portabella, raw","mushrooms, portabella, raw",food_matches_1to200.txt,,False
"mushrooms, portabella, grilled","mushrooms, portabella, grilled",food_matches_1to200.txt,,False
"mushrooms, shiitake, raw","mushrooms, shiitake, raw",food_matches_1to200.txt,,False
"mushrooms, shiitake, cooked, without salt","mushrooms, shiitake, cooked, without salt",food_matches_1to200.txt,"mushrooms, shiitake, cooked, without salt",True
"zucchini, includes skin, raw","zucchini, includes skin, raw",food_matches_1to200.txt,,False
"zucchini, includes skin, cooked, boiled, drained, without salt","zucchini, includes skin, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"zucchini, includes skin, cooked, boiled, drained, with salt","zucchini, includes skin, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"squash, summer, crookneck and straightneck, raw","squash, summer, crookneck and straightneck, raw",food_matches_1to200.txt,"squash, summer, crookneck and straightneck, raw",True
"squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt","squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt","squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"squash, winter, acorn, raw","squash, winter, acorn, raw",food_matches_1to200.txt,,False
"squash, winter, acorn, cooked, baked, without salt","squash, winter, acorn, cooked, baked, without salt",food_matches_1to200.txt,,False
"squash, winter, acorn, cooked, baked, with salt","squash, winter, acorn, cooked, baked, with salt",food_matches_1to200.txt,,False
"squash, winter, butternut, raw","squash, winter, butternut, raw",food_matches_1to200.txt,,False
"squash, winter, butternut, cooked, baked, without salt","squash, winter, butternut, cooked, baked, without salt",food_matches_1to200.txt,,False
"squash, winter, butternut, cooked, baked, with salt","squash, winter, butternut, cooked, baked, with salt",food_matches_1to200.txt,,False
"eggplant, raw","eggplant, raw",food_matches_1to200.txt,"eggplant, raw",True
"eggplant, cooked, boiled, drained, without salt","eggplant, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"eggplant, cooked, boiled, drained, with salt","eggplant, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"peppers, sweet, red, cooked, boiled, drained, without salt","peppers, sweet, red, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"peppers, sweet, red, cooked, boiled, drained, with salt","peppers, sweet, red, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"peppers, sweet, red, frozen, chopped, unprepared","peppers, sweet, red, frozen, chopped, unprepared",food_matches_1to200.txt,,False
"peppers, sweet, red, frozen, chopped, cooked, boiled, drained, without salt","peppers, sweet, red, frozen, chopped, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"peppers, sweet, red, frozen, chopped, cooked, boiled, drained, with salt","peppers, sweet, red, frozen, chopped, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"peppers, sweet, green, raw","peppers, sweet, green, raw",food_matches_1to200.txt,"peppers, sweet, green, raw",True
"peppers, sweet, green, cooked, boiled, drained, without salt","peppers, sweet, green, cooked, boiled, drained, without salt",food_matches_1to200.txt,"peppers, sweet, green, cooked, boiled, drained, without salt",True
"peppers, sweet, green, cooked, boiled, drained, with salt","peppers, sweet, green, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"peppers, sweet, green, frozen, chopped, unprepared","peppers, sweet, green, frozen, chopped, unprepared",food_matches_1to200.txt,,False
"peppers, sweet, green, frozen, chopped, cooked, boiled, drained, without salt","peppers, sweet, green, frozen, chopped, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt","peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"peppers, sweet, yellow, raw","peppers, sweet, yellow, raw",food_matches_1to200.txt,,False
"onions, cooked, boiled, drained, without salt","onions, cooked, boiled, drained, without salt",food_matches_1to200.txt,"onions, cooked, boiled, drained, without salt",True
"onions, cooked, boiled, drained, with salt","onions, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"onions, frozen, chopped, unprepared","onions, frozen, chopped, unprepared",food_matches_1to200.txt,,False
"onions, frozen, chopped, cooked, boiled, drained, without salt","onions, frozen, chopped, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"onions, frozen, chopped, cooked, boiled, drained, with salt","onions, frozen, chopped, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"garlic, raw","garlic, raw",food_matches_1to200.txt,"garlic, raw",True
"celery, cooked, boiled, drained, without salt","celery, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"celery, cooked, boiled, drained, with salt","celery, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"cucumbers, with peel, raw","cucumbers, with peel, raw",food_matches_1to200.txt,,False
"cucumbers, peeled, raw","cucumbers, peeled, raw",food_matches_1to200.txt,,False
"lettuce, romaine, raw","lettuce, romaine, raw",food_matches_1to200.txt,,False
"lettuce, green leaf, raw","lettuce, green leaf, raw",food_matches_1to200.txt,"lettuce, green leaf, raw",True
"lettuce, red leaf, raw","lettuce, red leaf, raw",food_matches_1to200.txt,"lettuce, red leaf, raw",True
"spinach, cooked, boiled, drained, without salt","spinach, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"spinach, cooked, boiled, drained, with salt","spinach, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"spinach, frozen, chopped or leaf, unprepared","spinach, frozen, chopped or leaf, unprepared",food_matches_1to200.txt,,False
"spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt","spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",food_matches_1to200.txt,"spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",True
"spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt","spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"spinach, canned, regular pack, drained solids","spinach, canned, regular pack, drained solids",food_matches_1to200.txt,,False
"kale, raw","kale, raw",food_matches_1to200.txt,"kale, raw",True
"kale, cooked, boiled, drained, without salt","kale, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"kale, cooked, boiled, drained, with salt","kale, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"kale, frozen, cooked, boiled, drained, without salt","kale, frozen, cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
"kale, frozen, cooked, boiled, drained, with salt","kale, frozen, cooked, boiled, drained, with salt",food_matches_1to200.txt,,False
"cabbage, common (danish, domestic, and pointed types), raw","cabbage, common (danish, domestic, and pointed types), raw",food_matches_1to200.txt,,False
"cabbage, common (danish, domestic, and pointed types), cooked, boiled, drained, without salt","cabbage, common (danish, domestic, and pointed types), cooked, boiled, drained, without salt",food_matches_1to200.txt,,False
